project_name,org,primary_language,file_types,community,tracker_type,tracker_url,git_url,approx_issues,approx_commits,priority,notes
sonar,SonarSource,Java,.java,Apache-style,Jira,https://jira.sonarsource.com,https://github.com/SonarSource/sonarqube,10000,50000,done,Current dataset. Java enterprise tool.
kafka,Apache,Java,.java .xml .properties,Apache,Jira,https://issues.apache.org/jira/projects/KAFKA,https://github.com/apache/kafka,17000,15000,done,Current dataset. Distributed messaging.
spark,Apache,Scala+Java,.scala .java .py,Apache,Jira,https://issues.apache.org/jira/projects/SPARK,https://github.com/apache/spark,30000,30000,planned,Current dataset. Big data. Commits reference SPARK-NNNN.
flink,Apache,Java,.java .xml,Apache,Jira,https://issues.apache.org/jira/projects/FLINK,https://github.com/apache/flink,20000,20000,high,Apache Jira - same tool. Java stream processing. flask.db already analyzed in exp2!
hive,Apache,Java+SQL,.java .sql .hql,Apache,Jira,https://issues.apache.org/jira/projects/HIVE,https://github.com/apache/hive,22000,18000,high,Apache Jira - same tool. SQL-heavy (.hql HiveQL files). Different file type profile.
cassandra,Apache,Java,.java .yaml .cql,Apache,Jira,https://issues.apache.org/jira/projects/CASSANDRA,https://github.com/apache/cassandra,18000,12000,high,Apache Jira - same tool. Java NoSQL database.
hadoop,Apache,Java,.java .xml .sh,Apache,Jira,https://issues.apache.org/jira/projects/HADOOP,https://github.com/apache/hadoop,24000,25000,high,Apache Jira - same tool. Java distributed filesystem.
arrow,Apache,C+++Python+Java,.cpp .h .py .java .rs,Apache,Jira,https://issues.apache.org/jira/projects/ARROW,https://github.com/apache/arrow,7000,15000,high,Apache Jira - same tool. Multi-language! C++/Python/Java/Rust in one repo.
beam,Apache,Java+Python+Go,.java .py .go,Apache,Jira,https://issues.apache.org/jira/projects/BEAM,https://github.com/apache/beam,25000,30000,medium,Apache Jira. Multi-language unified model for batch and streaming.
django,Django,Python,.py .html,GitHub-native,GitHub Issues,https://github.com/django/django/issues,https://github.com/django/django,16000,29000,high,GitHub Issues. Python web framework. Very long history. Previously used Trac - GitHub Issues since 2022.
pandas,pandas-dev,Python,.py .pyx .pxd,GitHub-native,GitHub Issues,https://github.com/pandas-dev/pandas/issues,https://github.com/pandas-dev/pandas,28000,30000,high,GitHub Issues. Python data analysis. Very active. Commits ref issues well.
scikit-learn,scikit-learn,Python,.py,GitHub-native,GitHub Issues,https://github.com/scikit-learn/scikit-learn/issues,https://github.com/scikit-learn/scikit-learn,12000,20000,high,GitHub Issues. Python ML. Academic community. Diverse task types.
ansible,Ansible,Python+YAML,.py .yml .yaml .j2,Red Hat / GitHub-native,GitHub Issues,https://github.com/ansible/ansible/issues,https://github.com/ansible/ansible,35000,40000,high,GitHub Issues. Python core + YAML playbooks! Diverse file types. Large community.
dbt-core,dbt-labs,Python+SQL+Jinja,.py .sql .j2 .yml,dbt community,GitHub Issues,https://github.com/dbt-labs/dbt-core/issues,https://github.com/dbt-labs/dbt-core,7000,5000,high,GitHub Issues. Python that manages SQL/Jinja templates. Unique file type profile. Data engineering community.
celery,celery,Python,.py,GitHub-native,GitHub Issues,https://github.com/celery/celery/issues,https://github.com/celery/celery,8000,10000,medium,GitHub Issues. Python distributed task queue. Good size for experiments.
sqlalchemy,SQLAlchemy,Python,.py,GitHub-native,GitHub Issues,https://github.com/sqlalchemy/sqlalchemy/issues,https://github.com/sqlalchemy/sqlalchemy,9000,12000,medium,GitHub Issues. Python ORM. Database-adjacent domain.
sqlfluff,sqlfluff,Python+SQL,.py .sql,GitHub-native,GitHub Issues,https://github.com/sqlfluff/sqlfluff/issues,https://github.com/sqlfluff/sqlfluff,3000,4000,medium,GitHub Issues. SQL linter written in Python. Commits touch SQL grammar files.
rails,rails,Ruby,.rb .erb .rake,Ruby community,GitHub Issues,https://github.com/rails/rails/issues,https://github.com/rails/rails,25000,80000,high,GitHub Issues. Ruby web framework. Very long history. Huge commit history. Different community culture.
rubocop,rubocop,Ruby,.rb,Ruby community,GitHub Issues,https://github.com/rubocop/rubocop/issues,https://github.com/rubocop/rubocop,8000,8000,high,GitHub Issues. Ruby code analysis tool. Interesting: tasks are about code quality rules. Smaller but dense.
discourse,discourse,Ruby+JavaScript,.rb .js .hbs .scss,Discourse community,GitHub Issues,https://github.com/discourse/discourse/issues,https://github.com/discourse/discourse,22000,30000,medium,GitHub Issues. Forum platform. Mixed Ruby + JavaScript files.
jekyll,jekyll,Ruby,.rb .liquid,Ruby community,GitHub Issues,https://github.com/jekyll/jekyll/issues,https://github.com/jekyll/jekyll,6000,5000,medium,GitHub Issues. Static site generator. Smaller Ruby project.
